acl 2.2.49-2
acpi 1.4-2
alsa-lib 1.0.23-2
alsa-utils 1.0.23-3
asciidoc 8.6.3-1
atk 1.32.0-1
attr 2.4.44-2
autoconf 2.68-1
automake 1.11.1-2
avahi 0.6.28-1
bash 4.1.009-3
binutils 2.21-2
bison 2.4.3-1
bzip2 1.0.6-1
ca-certificates 20090814+nmu2-1
cabextract 1.3-1
cairo 1.10.2-1
cloog-ppl 0.15.10-2
compositeproto 0.4.2-1
coreutils 8.9-1
cracklib 2.8.16-1
cryptsetup 1.2.0-1
curl 7.21.3-1
damageproto 1.2.1-1
dash 0.5.6.1-2
db 5.1.19-3
dbus 1.4.1-1
dbus-core 1.4.1-1
dbus-glib 0.92-1
dbus-python 0.83.1-2
dcron 4.4-2
deb2targz 1-2
desktop-file-utils 0.16-1
device-mapper 2.02.79-1
dhclient 4.2.0.2-1
dhcpcd 5.2.9-1
dialog 1.1_20100428-2
diffutils 3.0-2
dmenu 4.2.1-1
dmxproto 2.3-1
docbook-xml 4.5-4
docbook-xsl 1.76.1-1
dri2proto 2.3-1
dwm 5.8.2-2
e2fsprogs 1.41.14-1
elfutils 0.150-1
eventlog 0.2.12-1
expat 2.0.1-6
fakeroot 1.14.5-1
file 5.04-3
filesystem 2010.12-1
findutils 4.4.2-3
firefox 3.6.13-1
fixesproto 4.1.2-1
flac 1.2.1-2
flashplugin 10.1.102.65-1
flex 2.5.35-4
fontconfig 2.8.0-1
fontsproto 2.1.1-1
freetype2 2.4.4-2
gawk 3.1.8-2
gcc 4.5.2-4
gcc-libs 4.5.2-4
gconf 2.32.0-1
gdbm 1.8.3-8
gdisk 0.6.13-1
gdk-pixbuf2 2.22.1-1
gen-init-cpio 2.6.36-1
gettext 0.18.1.1-1
giblib 1.2.4-4
giflib 4.1.6-3
git 1.7.3.5-2
glew 1.5.7-1
glib2 2.26.1-1
glibc 2.12.2-1
glproto 1.4.12-1
gmp 5.0.1-2
gnutls 2.10.4-1
gobject-introspection 0.9.12-1
google-chrome-dev 10.0.634.0-1
google-talkplugin 1.8.0-1
gpm 1.20.6-6
grep 2.7-1
groff 1.21-1
grub2 1.98-5
gtk2 2.22.1-1
gzip 1.4-2
hdparm 9.36-1
heimdal 1.3.3-4
hicolor-icon-theme 0.12-1
htop 0.9-1
hunspell 1.2.14-1
iana-etc 2.30-1
ifplugd 0.28-7
imake 1.0.3-2
imlib2 1.4.4-1
initscripts 2010.07-2
inputproto 2.0.1-1
intel-dri 7.9.0.git20101207-2
iproute2 2.6.35-4
iputils 20100214-2
jdk 6u23-1
jfsutils 1.1.14-2
jre 6u23-1
kbd 1.15.2-1
kbproto 1.0.5-1
kernel26 2.6.36.3-1
less 436-2
libarchive 2.8.4-2
libasyncns 0.8-3
libatasmart 0.17-1
libcap 2.19-2
libcups 1.4.6-1
libdaemon 0.14-1
libdatrie 0.2.4-1
libdmx 1.1.1-1
libdrm 2.4.22-3
libevent 1.4.14b-2
libfetch 2.33-1
libffi 3.0.9-1
libfontenc 1.1.0-1
libgcrypt 1.4.6-1
libgl 7.9.0.git20101207-2
libgpg-error 1.9-2
libice 1.0.7-1
libid3tag 0.15.1b-6
libidl2 0.8.14-1
libjpeg 8.0.2-1
libjpeg6 6b-9
libldap 2.4.23-1
libmng 1.0.10-3
libmpc 0.8.2-3
libnl 1.1-2
libogg 1.2.2-1
libpcap 1.1.1-2
libpciaccess 0.12.0-1
libpng 1.4.5-1
libpng12 1.2.43-1
libpulse 0.9.22-2
libsasl 2.1.23-5
libsm 1.2.0-1
